,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23,hour 24
29/03/2023,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00
30/03/2023,0.10,-0.16,-0.01,0.06,0.10,0.05,0.02,-0.17,-0.09,0.03,-0.07,0.14,0.00,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00
31/03/2023,-0.07,0.15,-0.10,0.02,-0.01,0.09,0.08,-0.16,0.03,-0.10,0.14,-0.07,-0.11,-0.06,0.02,0.15,0.11,0.02,0.04,-0.17,0.12,0.00,0.05,-0.17
01/04/2023,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00
02/04/2023,0.05,-0.01,-0.16,0.11,0.03,0.01,0.12,-0.17,0.00,1.00,0.00,0.00,-1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00
03/04/2023,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00
04/04/2023,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00
05/04/2023,0.00,0.00,1.00,0.00,1.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/04/2023,0.00,0.00,1.00,0.00,1.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.08,-0.16,-0.01,0.00,0.00,0.00,0.00
07/04/2023,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08/04/2023,0.16,-0.14,0.01,-0.03,0.07,-0.10,0.10,-0.07,-0.04,-0.09,-0.03,0.17,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00,0.00
09/04/2023,0.12,-0.14,-0.03,0.05,-0.05,-0.07,-0.05,0.17,-0.02,0.17,-0.12,-0.03,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00
10/04/2023,-0.03,0.08,0.09,-0.13,0.01,-0.17,0.11,0.05,0.01,-0.17,0.05,0.11,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00
11/04/2023,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.03,0.06,0.08,-0.17,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00
12/04/2023,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00
13/04/2023,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.08,0.06,-0.17,0.02,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00
14/04/2023,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00
15/04/2023,-0.05,-0.02,-0.09,0.17,0.06,0.11,-0.07,-0.10,-0.04,-0.07,-0.05,0.17,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00
16/04/2023,0.06,0.10,-0.04,-0.13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00
17/04/2023,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.12,0.01,0.04,0.08,0.05,0.04,-0.17
