,,,,,,,Limitations pérennes,,Limitations temporaires,,,,,,,,,,,,
Code,Nom,Région,Voltage,Validation comité,État,Priorité,Injection,Soutirage,Injection,Soutirage,Proposition de raccordement,Responsable,Capacité accueil HTB1,Date envoi D1,Semaine envoi,Date réception D1,Score Poste,GeopointPoste,Délai de raccordement (mois),Commentaire ,D1 envoyés
STENA,Stenay,GRAND-EST,225kV,NOGO,Reçu,,2000,2000,0,0,antenne sur le poste 63 kV de STENAY,Oswald,> 15.0MW,06/03/2024,Semaine 10 mars 2024,27/03/2024,1,"49.50995756609799, 5.200209297406996",,,1
M.PIN,MONT-PINSON,GRAND-EST,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV de SEUIL,Oswald,> 15.0MW,06/03/2024,Semaine 10 mars 2024,27/03/2024,1,"49.453356459141794, 4.438674257229939",,,1
MALIN,Malintrat,AUVERGNE-RHÔNE-ALPES,63kV,NOGO,Reçu,,0,2000,2000,0,antenne sur MALENTRAT 63 kV,Julien,> 15.0MW,21/03/2024,Semaine 12 mars 2024,,1,"45.80885827865666, 3.1955275843097146",,,1
MEZEL,MEZEL,AUVERGNE-RHÔNE-ALPES,63kV,NOGO,Reçu,P1,0,0,2000,2000,antenne sur MEZEL 63 kV,Julien,> 15.0MW,21/03/2024,Semaine 12 mars 2024,,1,"45.74574831361048, 3.2371802741571356",,,1
FLEYR,Fleyriat,AUVERGNE-RHÔNE-ALPES,63kV,NOGO,Reçu,,0,2000,2000,0,antenne sur FLEYRIAT 63 kV,Julien,> 15.0MW,21/03/2024,Semaine 12 mars 2024,,1,"46.23262334294188, 5.209496386801708",,,1
VERN8,LA VERNELLE,AUVERGNE-RHÔNE-ALPES,63kV,NOGO,Reçu,,0,2000,2000,0,antenne sur VERNELLE 63 kV,Julien,> 15.0MW,21/03/2024,Semaine 12 mars 2024,,1,"45.863461472105634, 3.357073490106279",,,1
FLOIN,FLOING,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,0,0,antenne sur le poste 63 kV de FLOING,Oswald,> 15.0MW,06/03/2024,Semaine 10 mars 2024,27/03/2024,1,"49.724305029596685, 4.935795921816665",,,1
LUMES,LUMES,GRAND-EST,225kV,NOGO,Reçu,,0,0,2000,2000,antenne sur le poste 63 kV de LUMES,Oswald,> 15.0MW,06/03/2024,Semaine 10 mars 2024,27/03/2024,1,"49.747945657722084, 4.796300518533063",,,1
SEMBL,SEMBLANCAY,CENTRE,90kV,NOGO,Reçu,,2000,,0,0,antenne sur le poste 90 kV de SEMBLANCAY,Oswald,> 15.0MW,06/03/2024,Semaine 10 mars 2024,27/03/2024,1,"47.52220421458635, 0.5552458922215393",,,1
AMBON,Ambon,BRETAGNE,63kV,NOGO,Reçu,P1,2000,2000,0,0,Antenne LS 100m 63 kV sur le poste AMBON,Timothée,> 15.0MW,06/03/2024,Semaine 10 mars 2024,,1,"47.54541656852402, -2.5218709358414144",,,1
SARZE,Sarzeau,BRETAGNE,63kV,NOGO,Reçu,,0,2000,0,0,Antenne LS 200m 63 kV sur le poste SARZEAU,Timothée,> 15.0MW,06/03/2024,Semaine 10 mars 2024,,1,"47.51898168703453, -2.762196397780433",,,1
ALLAI,Allaire,BRETAGNE,63kV,NOGO,Reçu,P1,2000,2000,0,0,Antenne LS 100m 63 kV sur le poste ALLAIRE,Timothée,> 15.0MW,06/03/2024,Semaine 10 mars 2024,,1,"47.65096620611047, -2.2170899309029286",,,1
PLOE5,Ploeren,BRETAGNE,63kV,NOGO,Reçu,P1,2000,2000,0,2000,Antenne LS 100m 63 kV sur le poste PLOEREN,Timothée,> 15.0MW,06/03/2024,Semaine 10 mars 2024,,1,"47.65524273831701, -2.8283242574274614",,,1
LOCQU,Locqueltas,BRETAGNE,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne 63 kV sur le poste de LOCQUELTAS,Timothée,> 15.0MW,06/03/2024,Semaine 10 mars 2024,,1,"47.74910345718315, -2.7439160892701753",,,1
GUIDE,Guidel,BRETAGNE,63kV,NOGO,Reçu,P1,2000,2000,0,0,Antenne 63 kV sur le poste de GUIDEL,Timothée,> 15.0MW,06/03/2024,Semaine 10 mars 2024,,1,"47.76743002196496, -3.486203980303218",,,1
PLELA,Plelan,BRETAGNE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne 90 kV sur le poste de PLELAN,Timothée,> 15.0MW,06/03/2024,Semaine 10 mars 2024,,1,"47.99691076208809, -2.0832535495966193",,,1
MESSA,MESSAC,BRETAGNE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne 90 kV sur le poste de MESSAC,Timothée,> 15.0MW,06/03/2024,Semaine 10 mars 2024,,1,"47.8295550455098, -1.7867146919376093",,,1
LOUIS,Louisfert,PAYS-DE-LA-LOIRE,400kV,Analysis,Reçu,P1,2000,0,0,0,Antenne sur LOUISFERT 400 kV,Timothée,> 15.0MW,06/03/2024,Semaine 10 mars 2024,,1,"47.680481677562334, -1.4409836384817833",,,1
DERVA,Derval,PAYS-DE-LA-LOIRE,90kV,NOGO,Reçu,P1,2000,2000,0,0,Antenne sur DERVAL 90 kV,Timothée,> 15.0MW,06/03/2024,Semaine 10 mars 2024,,1,"47.6514494611105, -1.669964179678776",,,1
TRIGN,TRIGNAC,PAYS-DE-LA-LOIRE,63kV,NOGO,Reçu,,0,2000,0,0,Antenne sur TRIGNAC 63 kV,Timothée,> 15.0MW,06/03/2024,Semaine 10 mars 2024,,1,"47.31676693291706, -2.1718351117601036",,,1
PAS,LE PAS,BRETAGNE,90kV,NOGO,Reçu,,2000,2000,0,0,,Timothée,> 15.0MW,06/03/2024,Semaine 10 mars 2024,,1,"47.88592901515332, -1.4755380485666725",,,1
BAUD,Baud,BRETAGNE,63kV,NOGO,Reçu,,2000,2000,0,0,,Timothée,> 15.0MW,06/03/2024,Semaine 10 mars 2024,,1,"47.87801290491634, -3.037158009226327",,,1
PLOUA,Plouay,BRETAGNE,63kV,NOGO,Reçu,,2000,2000,0,0,,Timothée,> 15.0MW,06/03/2024,Semaine 10 mars 2024,,1,"47.93296147570602, -3.2838338440884516",,,1
P.ROU,Poteau-Rouge,BRETAGNE,225kV,NOGO,Reçu,,2000,0,0,0,,Timothée,> 15.0MW,06/03/2024,Semaine 10 mars 2024,,1,"47.82509527645092, -3.3114787664612244",,,1
LANG5,Langonnet,BRETAGNE,63kV,NOGO,Reçu,,2000,2000,0,0,,Timothée,> 15.0MW,11/03/2024,Semaine 11 mars 2024,,1,"48.09407565501492, -3.4910148175752225",,,1
GOURI,Gourin,BRETAGNE,63kV,NOGO,Reçu,P1,2000,2000,0,0,,Timothée,> 15.0MW,11/03/2024,Semaine 11 mars 2024,,1,"48.13200931903058, -3.636351667551403",,,1
SCAER,Scaer,BRETAGNE,63kV,NOGO,Reçu,,2000,2000,0,0,,Timothée,> 15.0MW,11/03/2024,Semaine 11 mars 2024,,1,"48.04617532008329, -3.7233375552847217",,,1
BANNA,Bannalec,BRETAGNE,63kV,NOGO,Reçu,,0,2000,0,0,,Timothée,> 15.0MW,11/03/2024,Semaine 11 mars 2024,,1,"47.924229077080646, -3.674482830126925",,,1
KERL5,Kerloury,BRETAGNE,63kV,NOGO,Reçu,P1,2000,2000,0,0,,Timothée,> 15.0MW,11/03/2024,Semaine 11 mars 2024,,1,"47.86608840473639, -3.7182708390151245",,,1
BENOD,Benodet,BRETAGNE,63kV,NOGO,Reçu,,0,2000,0,0,,Timothée,> 15.0MW,11/03/2024,Semaine 11 mars 2024,,1,"47.88702249051777, -4.055202799094485",,,1
POULD,Pouldreuzic,BRETAGNE,63kV,NOGO,Reçu,,0,2000,0,0,,Timothée,> 15.0MW,11/03/2024,Semaine 11 mars 2024,,1,"47.961687884229015, -4.34163166600709",,,1
AUDIE,Audierne,BRETAGNE,63kV,NOGO,Reçu,,2000,2000,0,0,,Timothée,> 15.0MW,11/03/2024,Semaine 11 mars 2024,,1,"48.02658754961945, -4.503183478098226",,,1
SSCO6,ST-COULITZ,BRETAGNE,63kV,NOGO,Reçu,P1,2000,0,0,0,,Timothée,> 15.0MW,11/03/2024,Semaine 11 mars 2024,,1,"48.1754973757117, -4.062423253841539",,,1
ABERS,ABERS (LES),BRETAGNE,63kV,NOGO,Reçu,,2000,0,0,0,,Timothée,> 15.0MW,11/03/2024,Semaine 11 mars 2024,,1,"48.51562169729861, -4.6864956988516795",,,1
LANN6,Lannilis,BRETAGNE,63kV,NOGO,Reçu,,2000,2000,0,0,,Timothée,> 15.0MW,11/03/2024,Semaine 11 mars 2024,,1,"48.54387083929757, -4.545926124666443",,,1
CLEDE,Cleder,BRETAGNE,63kV,NOGO,Reçu,,2000,2000,0,0,,Timothée,> 15.0MW,11/03/2024,Semaine 11 mars 2024,,1,"48.64471209522906, -4.1333350242106075",,,1
SSLEO,St-Pol-de-Leon,BRETAGNE,63kV,NOGO,Reçu,,2000,2000,0,0,,Timothée,> 15.0MW,11/03/2024,Semaine 11 mars 2024,,1,"48.66171638201458, -4.012171646587775",,,1
SAUV5,SAUVEUR,BRETAGNE,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV de UZEL,Timothée,> 15.0MW,18/03/2024,Semaine 12 mars 2024,,1,"48.16830624525736, -2.626566541864149",,,1
PLEMY,Plemy,BRETAGNE,63kV,NOGO,Reçu,,2000,0,0,0,Antenne sur le poste 63 kV de PLEMY,Timothée,> 15.0MW,18/03/2024,Semaine 12 mars 2024,,1,"48.323103375066516, -2.6500075641157643",,,1
UZEL,Uzel,BRETAGNE,63kV,NOGO,Reçu,,2000,0,0,0,Antenne sur le poste 63 kV de SAUVEUR,Timothée,> 15.0MW,18/03/2024,Semaine 12 mars 2024,,1,"48.27582125099276, -2.8487225613995877",,,1
LANFA,Lanfains,BRETAGNE,63kV,NOGO,Reçu,,2000,0,0,0,Antenne sur le poste 63 kV de LANFAINS,Timothée,> 15.0MW,18/03/2024,Semaine 12 mars 2024,,1,"48.368221930323976, -2.921323294735484",,,1
SSNI6,ST-NICOLAS (DU PELEM),BRETAGNE,63kV,NOGO,Reçu,,2000,0,0,0,Antenne sur le poste 63 kV de SAINT-NICOLAS (DU PELEM),Timothée,> 15.0MW,18/03/2024,Semaine 12 mars 2024,,1,"48.31187491905866, -3.1341077783260984",,,1
PLUSQ,Plusquellec,BRETAGNE,63kV,NOGO,Reçu,,2000,0,0,0,Antenne sur le poste 63 kV de PLUSQUELLEC,Timothée,> 15.0MW,18/03/2024,Semaine 12 mars 2024,,1,"48.39494945606405, -3.447817644285227",,,1
PLOUR,Plourhan,BRETAGNE,63kV,NOGO,Reçu,,2000,0,0,0,Antenne sur le poste 63 kV de PLOURHAN,Timothée,> 15.0MW,18/03/2024,Semaine 12 mars 2024,,1,"48.63299913595861, -2.8934423878774487",,,1
PLUZU,Pluzunet,BRETAGNE,63kV,NOGO,Reçu,,2000,0,0,0,Antenne sur le poste 63 kV de PLUZUNET,Timothée,> 15.0MW,18/03/2024,Semaine 12 mars 2024,,1,"48.63880872051871, -3.333435886254276",,,1
GUER5,Guerlesquin,BRETAGNE,63kV,NOGO,Reçu,,2000,0,0,0,Antenne sur le poste 63 kV de GUERLESQUIN,Timothée,> 15.0MW,18/03/2024,Semaine 12 mars 2024,,1,"48.535059558017565, -3.5924338398769535",,,1
LANME,Lanmeur,BRETAGNE,63kV,NOGO,Reçu,,2000,0,0,0,Antenne sur le poste 63 kV de LANMEUR,Timothée,> 15.0MW,18/03/2024,Semaine 12 mars 2024,,1,"48.65629005884376, -3.6954148584082818",,D1 par NW négative en Janvier,1
ROSPE,Rospez,BRETAGNE,225kV,NOGO,Reçu,,2000,0,0,0,antenne sur ROPEZ 225 kV,Timothée,> 15.0MW,18/03/2024,Semaine 12 mars 2024,,1,"48.724382352235, -3.403131545294801",,,1
GARD9,GARDES (LES),CENTRE,90kV,NOGO,Reçu,,2000,0,0,0,Antenne sur le poste 63 kV des GARDES,Oswald,> 15.0MW,19/03/2024,Semaine 12 mars 2024,27/03/2024,-,"47.10584783317176, 0.6458953014224061",,,1
AUNEA,Auneau,CENTRE,90kV,NOGO,Reçu,,0,0,2000,0,Antenne 90 kV sur AUNEAU,Oswald,> 15.0MW,19/03/2024,Semaine 12 mars 2024,02/04/2024,1,"48.44303513292843, 1.7765616406363633",,,1
NERON,Nerondes,CENTRE,90kV,NOGO,Reçu,,2000,0,0,0,Antenne sur le poste 90 kV de NERONDES,Oswald,> 15.0MW,19/03/2024,Semaine 12 mars 2024,27/05/2024,1,"46.95741336910665, 2.8466117153822106",,,1
VOVES,Voves,CENTRE,90kV,NOGO,Reçu,,0,0,2000,0,Antenne 90 kv sur VOVES,Oswald,> 15.0MW,19/03/2024,Semaine 12 mars 2024,02/04/2024,1,"48.27313819223197, 1.6394591372084903",,,1
INSMI,Insming,GRAND-EST,63kV,NOGO,Reçu,,Non étudié,Non étudié,Non étudié,Non étudié,Antenne sur le poste de INSMING impossible,Oswald,> 15.0MW,19/03/2024,Semaine 12 mars 2024,,1,"48.958685118791045, 6.887473605971541",,,1
FOUL5,FOULONNIERE,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de FOULONNIERES,Pierre-Olivier,> 15.0MW,05/02/2024,Semaine 6 février 2024,26/03/2024,1,"49.20010380218807, 1.2113929606538831",,,1
MALMA,Malmaison,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de MALMAISON,Pierre-Olivier,> 15.0MW,05/02/2024,Semaine 6 février 2024,26/03/2024,1,"48.890807576195705, 1.4384750838610303",,,1
